latitude,longitude
55.68072702331962,37.76872328701486
55.685939643347055,37.727399856252994
55.68456790123457,37.634229036895064
55.69417009602195,37.76293028270245
55.71995884773663,37.680766171538096
55.74320987654321,37.62631193100144
55.7380658436214,37.63056013416387
55.74794238683128,37.62988428366076
55.77475994513031,37.67062841399137
55.775034293552814,37.67410421657882
55.7755829903978,37.67719381887878
55.77668038408779,37.68192477240058
55.7755829903978,37.51875515093435
55.78347050754458,37.67574556780067
55.79725651577503,37.62003617632966
